car_name,model,fuelup_date,odometer,miles,gallons,price
2013 Nissan Altima 2.5SV,Nissan Altima,10-02-2013,1016,463,15.28,3.069
2013 Nissan Altima 2.5SV,Nissan Altima,10-15-2013,1422,406,13.31,3.05
2013 Nissan Altima 2.5SV,Nissan Altima,11-02-2013,1897,475,16.34,2.92
2013 Nissan Altima 2.5SV,Nissan Altima,11-23-2013,2304,407,14.75,2.9
2013 Nissan Altima 2.5SV,Nissan Altima,12-09-2013,2711,407,14.81,3.02
2013 Nissan Altima 2.5SV,Nissan Altima,12-30-2013,3164,453,15.8,3
2013 Nissan Altima 2.5SV,Nissan Altima,01-22-2014,3587,423,16.82,2.98
2013 Nissan Altima 2.5SV,Nissan Altima,02-05-2014,4036,449,15.58,2.979
2013 Nissan Altima 2.5SV,Nissan Altima,02-22-2014,4487,451,16.01,3.059
2013 Nissan Altima 2.5SV,Nissan Altima,03-19-2014,4871,384,15.67,3.199
2013 Nissan Altima 2.5SV,Nissan Altima,04-09-2014,5303,432,15.84,3.289
2013 Nissan Altima 2.5SV,Nissan Altima,05-06-2014,5655,352,13.54,3.359
2013 Nissan Altima 2.5SV,Nissan Altima,06-02-2014,6016,361,12.54,3.339
2013 Nissan Altima 2.5SV,Nissan Altima,07-10-2014,6475,459,16.38,3.239
2013 Nissan Altima 2.5SV,Nissan Altima,08-02-2014,6818,343,11.02,3.099
2013 Nissan Altima 2.5SV,Nissan Altima,08-15-2014,7047,229,7.05,3.079
2013 Nissan Altima 2.5SV,Nissan Altima,09-17-2014,7476,429,15.44,2.999
2013 Nissan Altima 2.5SV,Nissan Altima,10-13-2014,7817,341,12.27,2.869
2013 Nissan Altima 2.5SV,Nissan Altima,11-12-2014,8207,390,14.56,2.579
2013 Nissan Altima 2.5SV,Nissan Altima,11-29-2014,8612,405,14.75,2.149
2013 Nissan Altima 2.5SV,Nissan Altima,01-05-2015,9012,400,16,1.879
2013 Nissan Altima 2.5SV,Nissan Altima,01-27-2015,9469,457,16.78,1.799
2013 Nissan Altima 2.5SV,Nissan Altima,02-14-2015,9928,459,16.26,1.959
2013 Nissan Altima 2.5SV,Nissan Altima,02-27-2015,10249,321,12.18,1.999
